Provincia|Comune|Indirizzo|Est|Nord|Tipologia|Gestore|Nome|Tecnologia|Riferimento
LI|Livorno|Via dei Pensieri|1606322|4820095|Telefonia mobile|Tim|Livorno Stadio - LI66|2G 4G 5G|7207 del 28/01/2025
LI|Livorno|-|1573449|4809284|Telefonia mobile|Tim|Livorno Gorgona - LI70|2G 4G 5G Ponte radio|86305 del 16/10/2025
LI|Livorno|Piazza SS. Pietro e Paolo|1605680|4822312|Telefonia mobile|Iliad|Piazza SS. Pietro e Paolo - LI57127_004|3G 4G 5G|44439 del 29/05/2025
LI|Livorno|Via dei Cipressi|1607437|4824937|Telefonia mobile|Iliad|Livorno Corea - LI57121_001|3G 4G 5G|83314 del 07/10/2025
LI|Livorno|Via Palestro|1606364|4823521|Telefonia mobile|Iliad|Livorno Palestro - LI57121_005|3G 4G 5G|56825 del 09/07/2025
LI|Livorno|Via Internari|1606508|4821769|Telefonia mobile|Iliad|VILLA FABBRICOTTI - LI57127_003|3G 4G 5G|57633 del 11/07/2025
LI|Livorno|Piazza Mazzini|1605424|4822214|Telefonia mobile|Iliad|Livorno piazza Mazzini - LI57123_001|3G 4G 5G|38652 del 09/05/2025
LI|Livorno|via dello Struggino 10|1608424|4825701|Telefonia mobile|Iliad|LIVORNO PICCHIANTI - LI57014_001|3G 4G 5G|65178 del 05/08/2025
LI|Livorno|Viale Mogadiscio snc|1605540|4826220|Telefonia mobile|Iliad|LIVORNO DARSENA - LI57121_007|3G 4G 5G|56416 del 08/07/2025
LI|Livorno|via di Salviano angolo via di Levante|1608550|4820751|Telefonia mobile|Iliad|LIVORNO SALVIANO - LI57124_001|3G 4G 5G|50649 del 18/06/2025
LI|Livorno|Via di Levante c/o rotatoria|1606985|4820879|Telefonia mobile|Iliad|Livorno Cimitero - LI57124_002|3G 4G 5G|63506 del 30/07/2025
LI|Livorno|via di Salviano angolo via di Levante|1608550|4820751|Telefonia mobile|Wind Tre|Livorno Magrignano - LI315|3G 4G 5G|5524 del 22/01/2025
LI|Livorno|via Meucci|1607080|4821681|Telefonia mobile|Wind Tre|Livorno Piazza Vittoria - LI316|3G 4G 5G|065470 del 06/08/2025
LI|Livorno|Via Bikonacky|1606999|4819716|Telefonia mobile|Wind Tre|CASERMA VANNUCCI - LI124|2G 3G 4G 5G|33948 del 22/04/2025
LI|Livorno|Via Cogorano|1605759|4822873|Telefonia mobile|Wind Tre|Piazza Grande - LI105|4G 5G|62957 del 29/07/2025
LI|Livorno|Piazza Mazzini|1605453|4822067|Telefonia mobile|Wind Tre|Scali D'Azeglio 2 - LI001|2G 3G 4G 5G|33252 del 18/04/2025
LI|Livorno|Via Mastacchi|1606450|4823925|Telefonia mobile|Wind Tre|Livorno Piazza XI Maggio - LI311|3G 4G 5G|16309 del 26/02/2025
LI|Livorno|Via Pietro Nenni snc c/o campi sportivi|1607182|4818337|Telefonia mobile|Wind Tre|Livorno Antignano - LI006|2G 3G 4G 5G|8252 del 31/01/2025
LI|Livorno|Piazza Cavour|1606021|4822418|Telefonia mobile|Wind Tre|Livorno Centro - LI328|4G 5G|94886 del 12/11/2025
LI|Livorno|Via Campania snc|1607064|4820934|Telefonia mobile|Wind Tre|Livorno Fabbricotti - LI007|2G 3G 4G 5G|50653 del 18/06/2025
LI|Livorno|via dei Pelaghi|1608260|4821104|Telefonia mobile|Wind Tre|Via di Salviano - LI005|2G 3G 4G 5G|28060 del 03/04/2025
LI|Livorno|via Baroni|1607650|4822931|Telefonia mobile|Wind Tre|Livorno Stazione FF.SS. - LI009|2G 3G 4G 5G|24465 del 24/03/2025
LI|Livorno|Viale Mogadiscio|1605540|4826220|Telefonia mobile|Wind Tre|Livorno Darsena Toscana Est - LI109|2G 3G 4G 5G|56417 del 08/07/2025
LI|Livorno|via dei fabbri|1608522|4825521|Telefonia mobile|Tim|LI Corea Est - LIT0C0|2G 4G 5G|79216 del 24/09/2025
LI|Livorno|Via Meucci|1607068|4821678|Telefonia mobile|Iliad|Via Meucci - LI57127_002|3G 4G 5G|30236 del 09/04/2025
LI|Livorno|Via Cimarosa angolo Via Boccherini|1607907|4821823|Telefonia mobile|Iliad|Livorno Cimarosa - LI57124_004|3G 4G 5G|84571 del 10/10/2025
LI|Livorno|Via delle Pianacce|1607709|4817190|Telefonia mobile|Iliad|Antignano - LI57128_005|3G 4G 5G|64920 del 04/08/2025
LI|Livorno|Via Mastacchi c/o Complesso sportivo|1606995|4823985|Telefonia mobile|Iliad|Via Mastacchi - LI57121_003|3G 4G 5G|27111 del 01/04/2025
LI|Livorno|via Francesco Pera|1606328|4824196|Telefonia mobile|Iliad|Livorno - Cinta Esterna - LI57122_003|3G 4G 5G|64931 del 04/08/2025
LI|Livorno|Viale Carducci|1606666|4823130|Telefonia mobile|Iliad|Piazza del Cisternone - LI57122_001|3G 4G 5G|59817 del 18/07/2025
LI|Livorno|Darsena Toscana snc|1605540|4826220|Telefonia mobile|Tim|Livorno Nord - LV20|2G 4G 5G|9367 del 04/02/2025
LI|Livorno|Via Giovan Battista Giacomelli c/o SSE|1608131|4823857|Telefonia mobile|Vodafone|LI Stazione TRA  -  3RM08169|2G 4G 5G|85072 del 13/10/2025
LI|Livorno|Calata Punto Franco|1605038|4822965|Telefonia mobile|Vodafone|Livorno Porto - 3OF03833|2G 4G 5G|73972 del 10/09/2025
LI|Livorno|via C. Ferrigni  104|1607052|4822054|Telefonia mobile|Vodafone|Livorno Colline - 3OF03826|2G 4G 5G|95194 del 13/11/2025
